TransactionID,Timestamp,Amount,Currency,Channel,Location,CustomerID,AccountType,TxFrequency,FraudLabel
T006667,2025-04-09 7:08:30,139.13,INR,Mobile,DE,C9321,Savings,1,0
T006668,2025-03-28 7:15:53,134.32,EUR,ATM,US,C1107,Savings,3,0
T006669,2025-06-03 19:47:57,240.1,USD,POS,US,C9736,Business,6,0
T006670,2025-05-07 22:45:47,93.93,INR,POS,SG,C1443,Business,1,0
T006671,2025-05-11 2:35:03,560.2,USD,POS,SG,C8678,Savings,2,0
T006672,2025-06-28 11:01:42,458.3,INR,Online,IN,C3279,Savings,2,0
T006673,2025-04-30 18:34:32,304.61,INR,ATM,IN,C9543,Savings,2,0
T006674,2025-08-10 2:42:27,80.25,INR,Mobile,IN,C8869,CreditCard,3,0
T006675,2025-03-16 13:50:42,862.36,INR,Mobile,IN,C4492,Business,4,0
T006676,2025-08-27 22:41:09,522.7,INR,POS,DE,C8339,Business,2,0
T006677,2025-05-04 23:58:36,32.19,USD,POS,US,C1480,Savings,3,0
T006678,2025-04-09 3:48:12,111.78,EUR,Mobile,AE,C7828,Business,1,0
T006679,2025-04-16 11:39:26,212.06,INR,Online,US,C6697,Savings,2,0
T006680,2025-07-29 19:02:07,4.26,INR,ATM,DE,C2494,Business,1,0
T006681,2025-08-09 9:46:12,26.42,GBP,Online,IN,C4850,Business,1,0
T006682,2025-06-19 21:15:33,296.66,INR,Wire,US,C7055,Business,2,0
T006683,2025-07-10 11:24:24,202.02,GBP,Online,SG,C7745,Savings,3,0
T006684,2025-06-12 4:34:25,385.58,USD,Online,SG,C5595,Savings,5,0
T006685,2025-05-16 5:05:19,114.84,USD,Online,IN,C5051,CreditCard,2,0
T006686,2025-07-25 0:59:21,0.15,USD,ATM,US,C8620,Business,3,0
T006687,2025-03-29 0:16:59,328.34,INR,Mobile,IN,C2426,Savings,0,0
T006688,2025-07-08 11:51:58,472.27,INR,Online,IN,C8777,Savings,1,0
T006689,2025-07-24 18:18:22,104.56,INR,POS,UK,C6848,CreditCard,3,0
T006690,2025-03-24 20:00:46,277.81,INR,POS,IN,C7611,Savings,2,0
T006691,2025-08-03 15:09:09,222.57,USD,Mobile,IN,C1271,Savings,1,0
T006692,2025-07-27 1:41:26,631.01,INR,Mobile,IN,C3051,Savings,2,0
T006693,2025-08-08 1:49:05,83.52,INR,Mobile,US,C6735,Savings,1,0
T006694,2025-07-10 2:45:47,71.53,INR,POS,IN,C9863,Savings,1,0
T006695,2025-08-10 11:49:36,43.64,USD,Mobile,IN,C9261,Business,1,0
T006696,2025-04-30 19:35:29,111.57,INR,Mobile,IN,C3169,CreditCard,1,0
T006697,2025-04-22 17:58:59,241.05,INR,POS,UK,C9591,Business,1,0
T006698,2025-06-17 5:35:10,124.92,USD,Mobile,US,C7234,Business,2,0
T006699,2025-06-23 10:26:22,135.91,INR,ATM,US,C7802,Savings,4,0
T006700,2025-06-26 8:28:26,22.2,USD,POS,IN,C8283,Savings,1,0
T006701,2025-04-20 11:41:24,138.62,INR,POS,US,C6126,Business,4,0
T006702,2025-05-06 22:30:31,273.37,INR,Mobile,UK,C7017,Savings,0,0
T006703,2025-07-19 16:25:41,643.68,EUR,Online,UK,C3365,Savings,2,0
T006704,2025-04-14 4:32:10,47.49,INR,Online,IN,C8752,CreditCard,3,0
T006705,2025-06-05 11:19:44,75.47,INR,ATM,US,C9400,Savings,1,0
T006706,2025-04-04 15:08:08,116.74,GBP,ATM,IN,C2088,Business,2,0
T006707,2025-05-04 11:15:52,314.36,INR,Online,US,C8549,Savings,0,0
T006708,2025-08-07 15:19:16,343.86,INR,Online,IN,C5109,CreditCard,1,0
T006709,2025-06-10 12:19:39,330.21,USD,POS,IN,C3787,Savings,1,0
T006710,2025-07-05 20:14:13,121.86,INR,Online,SG,C9074,CreditCard,3,0
T006711,2025-08-25 10:16:54,11.16,GBP,Online,SG,C2046,Business,1,0
T006712,2025-06-13 17:26:19,49.39,INR,ATM,IN,C7566,CreditCard,2,0
T006713,2025-07-26 8:43:31,363.39,GBP,ATM,IN,C2198,Savings,3,0
T006714,2025-04-22 7:42:41,453.15,EUR,Wire,IN,C5323,Savings,0,0
T006715,2025-03-22 6:23:19,245.39,INR,Online,IN,C9836,Savings,3,0
T006716,2025-08-06 4:43:28,167.39,USD,POS,US,C4272,CreditCard,3,0
T006717,2025-09-01 22:12:04,60.66,INR,ATM,US,C9443,Business,1,0
