TransactionID,Timestamp,Amount,Currency,Channel,Location,CustomerID,AccountType,TxFrequency,FraudLabel
T003334,2025-07-08 20:11:36,101.3,INR,Online,IN,C8134,Savings,3,0
T003335,2025-03-25 16:49:08,215.96,INR,Mobile,SG,C1738,Business,1,0
T003336,2025-05-07 18:27:04,62.69,GBP,Online,UK,C8774,Business,1,0
T003337,2025-05-03 5:19:02,367.21,INR,Online,SG,C4505,CreditCard,3,0
T003338,2025-05-09 9:21:43,60.66,USD,POS,SG,C4216,CreditCard,0,0
T003339,2025-08-27 4:01:00,466.94,GBP,ATM,UK,C1158,Savings,3,0
T003340,2025-07-22 19:01:57,239.34,INR,Online,AE,C3044,Business,2,0
T003341,2025-04-14 9:01:02,491.07,INR,Online,IN,C2952,Savings,1,0
T003342,2025-04-08 15:51:16,701.14,INR,POS,IN,C4741,Savings,1,0
T003343,2025-03-15 17:00:16,60.68,INR,POS,UK,C8579,Business,2,0
T003344,2025-04-14 17:01:16,400.76,INR,ATM,IN,C8976,Business,2,0
T003345,2025-06-09 0:06:29,140.71,INR,ATM,IN,C3473,Savings,1,0
T003346,2025-03-27 6:58:31,18.07,USD,POS,IN,C1000,Savings,2,0
T003347,2025-07-31 11:08:30,90.01,INR,Online,DE,C4612,Savings,4,0
T003348,2025-05-10 5:56:30,390.51,INR,POS,IN,C4639,Savings,2,0
T003349,2025-03-08 11:45:27,262.42,INR,Online,UK,C1408,Savings,3,0
T003350,2025-05-18 4:49:57,97.09,INR,POS,US,C3958,Savings,2,0
T003351,2025-07-22 1:18:11,66.8,USD,POS,IN,C6584,Savings,0,0
T003352,2025-05-18 21:56:09,51.24,INR,ATM,SG,C4001,CreditCard,1,0
T003353,2025-05-14 8:37:09,173.93,INR,ATM,US,C8963,Savings,1,0
T003354,2025-04-18 11:20:46,79.58,INR,POS,UK,C7325,CreditCard,2,0
T003355,2025-06-06 6:20:50,241.05,INR,POS,US,C6650,Business,3,0
T003356,2025-04-17 4:51:26,105.09,INR,Online,IN,C8098,Savings,4,0
T003357,2025-04-28 18:12:59,139.96,USD,Online,US,C4958,Business,3,0
T003358,2025-07-31 19:17:29,114.17,USD,Online,SG,C3823,Savings,1,0
T003359,2025-07-15 12:57:04,189.52,INR,Online,UK,C1548,Savings,3,0
T003360,2025-03-21 12:59:14,2.09,GBP,POS,IN,C3096,Business,4,0
T003361,2025-03-27 12:33:06,88.15,USD,Wire,IN,C2036,Savings,4,0
T003362,2025-07-24 12:21:23,816.79,INR,Online,US,C1722,Savings,1,0
T003363,2025-05-02 8:17:36,206.97,EUR,ATM,IN,C9796,Business,3,0
T003364,2025-07-13 0:57:08,496.8,INR,Online,UK,C1269,Savings,6,0
T003365,2025-06-10 21:33:17,259.65,INR,Mobile,IN,C1030,Savings,1,0
T003366,2025-07-05 20:10:40,111.31,INR,ATM,UK,C5293,Business,2,0
T003367,2025-03-15 19:06:49,932.8,INR,POS,UK,C7160,Savings,2,0
T003368,2025-09-02 8:19:30,233.89,GBP,Online,DE,C6564,Savings,0,0
T003369,2025-04-05 22:21:08,133.99,INR,ATM,US,C6858,Savings,4,0
T003370,2025-05-14 2:43:42,611.79,USD,ATM,IN,C9253,Savings,1,0
T003371,2025-06-04 13:31:30,256.01,USD,Mobile,US,C8836,Business,1,0
T003372,2025-08-25 17:56:53,250.92,INR,Online,IN,C6012,Savings,1,0
T003373,2025-05-09 0:01:39,174.65,INR,Online,IN,C2470,Business,3,0
T003374,2025-05-23 12:26:56,227.28,INR,Mobile,US,C2559,Savings,2,0
T003375,2025-08-14 15:22:02,66.86,EUR,POS,IN,C2763,Savings,0,0
T003376,2025-04-27 4:47:50,192.43,INR,ATM,IN,C9507,Savings,1,0
T003377,2025-03-27 19:01:39,119.65,INR,Mobile,IN,C7588,Savings,4,0
T003378,2025-06-29 0:22:49,178.1,EUR,ATM,IN,C3008,Savings,2,0
T003379,2025-03-27 15:10:19,248.42,INR,Online,IN,C9184,Savings,1,0
T003380,2025-07-09 4:48:29,399.65,INR,POS,IN,C8807,Business,1,0
T003381,2025-04-16 1:35:08,176.05,INR,Online,US,C1804,Business,1,0
T003382,2025-06-18 22:04:15,3.96,USD,POS,DE,C6438,Savings,1,0
T003383,2025-05-23 15:09:11,87.42,USD,Mobile,IN,C9680,Business,2,0
T003384,2025-05-18 15:15:48,153.19,EUR,Online,IN,C8292,Savings,7,0
T003385,2025-06-14 3:52:25,760.4,INR,Online,IN,C6329,CreditCard,1,0
T003386,2025-05-07 14:15:51,222.42,INR,POS,US,C7751,Business,2,0
T003387,2025-06-01 0:07:00,1.79,GBP,ATM,UK,C5727,Savings,2,0
T003388,2025-06-02 22:29:14,230.76,EUR,POS,US,C4042,CreditCard,2,0
T003389,2025-04-30 7:37:22,3.42,USD,Online,SG,C5308,Savings,3,0
T003390,2025-08-07 21:37:59,721.23,INR,Mobile,US,C7708,Savings,1,0
T003391,2025-04-30 8:15:43,310.46,EUR,Mobile,US,C6736,Savings,2,0
T003392,2025-03-18 7:36:03,580.75,USD,Mobile,AE,C3286,Savings,2,0
T003393,2025-08-14 23:07:20,241.12,USD,POS,UK,C1375,Savings,5,0
T003394,2025-08-15 3:46:10,647.66,INR,POS,SG,C2414,CreditCard,0,0
T003395,2025-06-05 23:42:27,21.04,INR,POS,IN,C4918,Savings,0,0
T003396,2025-05-26 18:49:49,254.38,INR,Online,IN,C3026,Savings,4,0
T003397,2025-06-28 4:20:51,231.03,INR,Online,SG,C5546,CreditCard,2,0
T003398,2025-08-27 12:14:17,994.05,GBP,Online,AE,C1133,Savings,2,1
T003399,2025-07-29 8:05:45,70.38,INR,Online,IN,C1386,Business,4,0
T003400,2025-08-01 22:00:55,216.3,INR,POS,IN,C5964,Savings,4,0
T003401,2025-04-30 23:32:23,52.0,INR,ATM,US,C9219,Savings,3,0
T003402,2025-06-29 22:24:20,121.5,EUR,POS,IN,C6339,Savings,3,0
T003403,2025-08-14 20:14:53,233.13,INR,Online,US,C5394,Savings,0,0
T003404,2025-05-22 1:35:08,558.13,INR,ATM,US,C8745,Savings,2,0
T003405,2025-04-14 6:14:29,67.79,INR,Wire,IN,C9048,Savings,3,0
